Product Name,Product Group SKU,Variant Name,Attribute 1,Option 1,Attribute 2,Option 2,Attribute 3,Option 3,Parent Category,Category,Subcategory,Brand,SKU,Barcode,Description,Customer Unit,Supplier Unit,Customer Units in One Supplier Unit,Purchase Price,Selling Price,Regular Price,Opening Supplier Quantity,Additional Customer-Unit Stock,Low Stock Alert,Status
Lal Qilla Steam Rice,,,,,,,,,Grocery,Rice,Steam Rice,Lal Qilla,GRO-RICE-SR-LQ-00012,,Lal Qilla Steam Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Guard Brown Rice,,,,,,,,,Grocery,Rice,Brown Rice,Guard,GRO-RICE-BR-GUAR-00013,,Guard Brown Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Falak Brown Rice,,,,,,,,,Grocery,Rice,Brown Rice,Falak,GRO-RICE-BR-FALA-00014,,Falak Brown Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Kashmir Brown Rice,,,,,,,,,Grocery,Rice,Brown Rice,Kashmir,GRO-RICE-BR-KASH-00015,,Kashmir Brown Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Lal Qilla Brown Rice,,,,,,,,,Grocery,Rice,Brown Rice,Lal Qilla,GRO-RICE-BR-LQ-00016,,Lal Qilla Brown Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Guard Broken Rice,,,,,,,,,Grocery,Rice,Broken Rice,Guard,GRO-RICE-BR-GUAR-00017,,Guard Broken Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Falak Broken Rice,,,,,,,,,Grocery,Rice,Broken Rice,Falak,GRO-RICE-BR-FALA-00018,,Falak Broken Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Kashmir Broken Rice,,,,,,,,,Grocery,Rice,Broken Rice,Kashmir,GRO-RICE-BR-KASH-00019,,Kashmir Broken Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Lal Qilla Broken Rice,,,,,,,,,Grocery,Rice,Broken Rice,Lal Qilla,GRO-RICE-BR-LQ-00020,,Lal Qilla Broken Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Guard Local Rice,,,,,,,,,Grocery,Rice,Local Rice,Guard,GRO-RICE-LR-GUAR-00021,,Guard Local Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Falak Local Rice,,,,,,,,,Grocery,Rice,Local Rice,Falak,GRO-RICE-LR-FALA-00022,,Falak Local Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Kashmir Local Rice,,,,,,,,,Grocery,Rice,Local Rice,Kashmir,GRO-RICE-LR-KASH-00023,,Kashmir Local Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Lal Qilla Local Rice,,,,,,,,,Grocery,Rice,Local Rice,Lal Qilla,GRO-RICE-LR-LQ-00024,,Lal Qilla Local Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Guard Imported Rice,,,,,,,,,Grocery,Rice,Imported Rice,Guard,GRO-RICE-IR-GUAR-00025,,Guard Imported Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Falak Imported Rice,,,,,,,,,Grocery,Rice,Imported Rice,Falak,GRO-RICE-IR-FALA-00026,,Falak Imported Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Kashmir Imported Rice,,,,,,,,,Grocery,Rice,Imported Rice,Kashmir,GRO-RICE-IR-KASH-00027,,Kashmir Imported Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Lal Qilla Imported Rice,,,,,,,,,Grocery,Rice,Imported Rice,Lal Qilla,GRO-RICE-IR-LQ-00028,,Lal Qilla Imported Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Guard Super Kernel Rice,,,,,,,,,Grocery,Rice,Super Kernel Rice,Guard,GRO-RICE-SKR-GUAR-00029,,Guard Super Kernel Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Falak Super Kernel Rice,,,,,,,,,Grocery,Rice,Super Kernel Rice,Falak,GRO-RICE-SKR-FALA-00030,,Falak Super Kernel Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Kashmir Super Kernel Rice,,,,,,,,,Grocery,Rice,Super Kernel Rice,Kashmir,GRO-RICE-SKR-KASH-00031,,Kashmir Super Kernel Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Lal Qilla Super Kernel Rice,,,,,,,,,Grocery,Rice,Super Kernel Rice,Lal Qilla,GRO-RICE-SKR-LQ-00032,,Lal Qilla Super Kernel Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Guard Kainat Rice,,,,,,,,,Grocery,Rice,Kainat Rice,Guard,GRO-RICE-KR-GUAR-00033,,Guard Kainat Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Falak Kainat Rice,,,,,,,,,Grocery,Rice,Kainat Rice,Falak,GRO-RICE-KR-FALA-00034,,Falak Kainat Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Kashmir Kainat Rice,,,,,,,,,Grocery,Rice,Kainat Rice,Kashmir,GRO-RICE-KR-KASH-00035,,Kashmir Kainat Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Lal Qilla Kainat Rice,,,,,,,,,Grocery,Rice,Kainat Rice,Lal Qilla,GRO-RICE-KR-LQ-00036,,Lal Qilla Kainat Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Guard Jasmine Rice,,,,,,,,,Grocery,Rice,Jasmine Rice,Guard,GRO-RICE-JR-GUAR-00037,,Guard Jasmine Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Falak Jasmine Rice,,,,,,,,,Grocery,Rice,Jasmine Rice,Falak,GRO-RICE-JR-FALA-00038,,Falak Jasmine Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Kashmir Jasmine Rice,,,,,,,,,Grocery,Rice,Jasmine Rice,Kashmir,GRO-RICE-JR-KASH-00039,,Kashmir Jasmine Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Lal Qilla Jasmine Rice,,,,,,,,,Grocery,Rice,Jasmine Rice,Lal Qilla,GRO-RICE-JR-LQ-00040,,Lal Qilla Jasmine Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Guard IRRI Rice,,,,,,,,,Grocery,Rice,IRRI Rice,Guard,GRO-RICE-IR-GUAR-00041,,Guard IRRI Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Falak IRRI Rice,,,,,,,,,Grocery,Rice,IRRI Rice,Falak,GRO-RICE-IR-FALA-00042,,Falak IRRI Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Kashmir IRRI Rice,,,,,,,,,Grocery,Rice,IRRI Rice,Kashmir,GRO-RICE-IR-KASH-00043,,Kashmir IRRI Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Lal Qilla IRRI Rice,,,,,,,,,Grocery,Rice,IRRI Rice,Lal Qilla,GRO-RICE-IR-LQ-00044,,Lal Qilla IRRI Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Guard Long Grain Rice,,,,,,,,,Grocery,Rice,Long Grain Rice,Guard,GRO-RICE-LGR-GUAR-00045,,Guard Long Grain Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Falak Long Grain Rice,,,,,,,,,Grocery,Rice,Long Grain Rice,Falak,GRO-RICE-LGR-FALA-00046,,Falak Long Grain Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Kashmir Long Grain Rice,,,,,,,,,Grocery,Rice,Long Grain Rice,Kashmir,GRO-RICE-LGR-KASH-00047,,Kashmir Long Grain Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Lal Qilla Long Grain Rice,,,,,,,,,Grocery,Rice,Long Grain Rice,Lal Qilla,GRO-RICE-LGR-LQ-00048,,Lal Qilla Long Grain Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Guard Short Grain Rice,,,,,,,,,Grocery,Rice,Short Grain Rice,Guard,GRO-RICE-SGR-GUAR-00049,,Guard Short Grain Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Falak Short Grain Rice,,,,,,,,,Grocery,Rice,Short Grain Rice,Falak,GRO-RICE-SGR-FALA-00050,,Falak Short Grain Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Kashmir Short Grain Rice,,,,,,,,,Grocery,Rice,Short Grain Rice,Kashmir,GRO-RICE-SGR-KASH-00051,,Kashmir Short Grain Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Lal Qilla Short Grain Rice,,,,,,,,,Grocery,Rice,Short Grain Rice,Lal Qilla,GRO-RICE-SGR-LQ-00052,,Lal Qilla Short Grain Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Guard Sticky Rice,,,,,,,,,Grocery,Rice,Sticky Rice,Guard,GRO-RICE-SR-GUAR-00053,,Guard Sticky Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Falak Sticky Rice,,,,,,,,,Grocery,Rice,Sticky Rice,Falak,GRO-RICE-SR-FALA-00054,,Falak Sticky Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Kashmir Sticky Rice,,,,,,,,,Grocery,Rice,Sticky Rice,Kashmir,GRO-RICE-SR-KASH-00055,,Kashmir Sticky Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Lal Qilla Sticky Rice,,,,,,,,,Grocery,Rice,Sticky Rice,Lal Qilla,GRO-RICE-SR-LQ-00056,,Lal Qilla Sticky Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Sunridge Wheat Flour,,,,,,,,,Grocery,Flour & Grains,Wheat Flour,Sunridge,GRO-FG-WF-SUNR-00057,,Sunridge Wheat Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Bake Parlor Wheat Flour,,,,,,,,,Grocery,Flour & Grains,Wheat Flour,Bake Parlor,GRO-FG-WF-BP-00058,,Bake Parlor Wheat Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Nature's Own Wheat Flour,,,,,,,,,Grocery,Flour & Grains,Wheat Flour,Nature's Own,GRO-FG-WF-NSO-00059,,Nature's Own Wheat Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Wheat Flour,,,,,,,,,Grocery,Flour & Grains,Wheat Flour,Store Brand,GRO-FG-WF-SB-00060,,Wheat Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Sunridge Chakki Atta,,,,,,,,,Grocery,Flour & Grains,Chakki Atta,Sunridge,GRO-FG-CA-SUNR-00061,,Sunridge Chakki Atta in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Bake Parlor Chakki Atta,,,,,,,,,Grocery,Flour & Grains,Chakki Atta,Bake Parlor,GRO-FG-CA-BP-00062,,Bake Parlor Chakki Atta in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Nature's Own Chakki Atta,,,,,,,,,Grocery,Flour & Grains,Chakki Atta,Nature's Own,GRO-FG-CA-NSO-00063,,Nature's Own Chakki Atta in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Chakki Atta,,,,,,,,,Grocery,Flour & Grains,Chakki Atta,Store Brand,GRO-FG-CA-SB-00064,,Chakki Atta in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Sunridge Fine Flour,,,,,,,,,Grocery,Flour & Grains,Fine Flour,Sunridge,GRO-FG-FF-SUNR-00065,,Sunridge Fine Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Bake Parlor Fine Flour,,,,,,,,,Grocery,Flour & Grains,Fine Flour,Bake Parlor,GRO-FG-FF-BP-00066,,Bake Parlor Fine Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Nature's Own Fine Flour,,,,,,,,,Grocery,Flour & Grains,Fine Flour,Nature's Own,GRO-FG-FF-NSO-00067,,Nature's Own Fine Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Fine Flour,,,,,,,,,Grocery,Flour & Grains,Fine Flour,Store Brand,GRO-FG-FF-SB-00068,,Fine Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Sunridge Semolina,,,,,,,,,Grocery,Flour & Grains,Semolina,Sunridge,GRO-FG-SEMO-SUNR-00069,,Sunridge Semolina in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Bake Parlor Semolina,,,,,,,,,Grocery,Flour & Grains,Semolina,Bake Parlor,GRO-FG-SEMO-BP-00070,,Bake Parlor Semolina in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Nature's Own Semolina,,,,,,,,,Grocery,Flour & Grains,Semolina,Nature's Own,GRO-FG-SEMO-NSO-00071,,Nature's Own Semolina in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Semolina,,,,,,,,,Grocery,Flour & Grains,Semolina,Store Brand,GRO-FG-SEMO-SB-00072,,Semolina in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Sunridge Corn Flour,,,,,,,,,Grocery,Flour & Grains,Corn Flour,Sunridge,GRO-FG-CF-SUNR-00073,,Sunridge Corn Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Bake Parlor Corn Flour,,,,,,,,,Grocery,Flour & Grains,Corn Flour,Bake Parlor,GRO-FG-CF-BP-00074,,Bake Parlor Corn Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Nature's Own Corn Flour,,,,,,,,,Grocery,Flour & Grains,Corn Flour,Nature's Own,GRO-FG-CF-NSO-00075,,Nature's Own Corn Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Corn Flour,,,,,,,,,Grocery,Flour & Grains,Corn Flour,Store Brand,GRO-FG-CF-SB-00076,,Corn Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Sunridge Gram Flour,,,,,,,,,Grocery,Flour & Grains,Gram Flour,Sunridge,GRO-FG-GF-SUNR-00077,,Sunridge Gram Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Bake Parlor Gram Flour,,,,,,,,,Grocery,Flour & Grains,Gram Flour,Bake Parlor,GRO-FG-GF-BP-00078,,Bake Parlor Gram Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Nature's Own Gram Flour,,,,,,,,,Grocery,Flour & Grains,Gram Flour,Nature's Own,GRO-FG-GF-NSO-00079,,Nature's Own Gram Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Gram Flour,,,,,,,,,Grocery,Flour & Grains,Gram Flour,Store Brand,GRO-FG-GF-SB-00080,,Gram Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Sunridge Oats,,,,,,,,,Grocery,Flour & Grains,Oats,Sunridge,GRO-FG-OATS-SUNR-00081,,Sunridge Oats in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Bake Parlor Oats,,,,,,,,,Grocery,Flour & Grains,Oats,Bake Parlor,GRO-FG-OATS-BP-00082,,Bake Parlor Oats in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Nature's Own Oats,,,,,,,,,Grocery,Flour & Grains,Oats,Nature's Own,GRO-FG-OATS-NSO-00083,,Nature's Own Oats in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Oats,,,,,,,,,Grocery,Flour & Grains,Oats,Store Brand,GRO-FG-OATS-SB-00084,,Oats in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Sunridge Porridge,,,,,,,,,Grocery,Flour & Grains,Porridge,Sunridge,GRO-FG-PORR-SUNR-00085,,Sunridge Porridge in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Bake Parlor Porridge,,,,,,,,,Grocery,Flour & Grains,Porridge,Bake Parlor,GRO-FG-PORR-BP-00086,,Bake Parlor Porridge in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Nature's Own Porridge,,,,,,,,,Grocery,Flour & Grains,Porridge,Nature's Own,GRO-FG-PORR-NSO-00087,,Nature's Own Porridge in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Porridge,,,,,,,,,Grocery,Flour & Grains,Porridge,Store Brand,GRO-FG-PORR-SB-00088,,Porridge in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Sunridge Barley Flour,,,,,,,,,Grocery,Flour & Grains,Barley Flour,Sunridge,GRO-FG-BF-SUNR-00089,,Sunridge Barley Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Bake Parlor Barley Flour,,,,,,,,,Grocery,Flour & Grains,Barley Flour,Bake Parlor,GRO-FG-BF-BP-00090,,Bake Parlor Barley Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Nature's Own Barley Flour,,,,,,,,,Grocery,Flour & Grains,Barley Flour,Nature's Own,GRO-FG-BF-NSO-00091,,Nature's Own Barley Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Barley Flour,,,,,,,,,Grocery,Flour & Grains,Barley Flour,Store Brand,GRO-FG-BF-SB-00092,,Barley Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Sunridge Multigrain Flour,,,,,,,,,Grocery,Flour & Grains,Multigrain Flour,Sunridge,GRO-FG-MF-SUNR-00093,,Sunridge Multigrain Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Bake Parlor Multigrain Flour,,,,,,,,,Grocery,Flour & Grains,Multigrain Flour,Bake Parlor,GRO-FG-MF-BP-00094,,Bake Parlor Multigrain Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Nature's Own Multigrain Flour,,,,,,,,,Grocery,Flour & Grains,Multigrain Flour,Nature's Own,GRO-FG-MF-NSO-00095,,Nature's Own Multigrain Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Multigrain Flour,,,,,,,,,Grocery,Flour & Grains,Multigrain Flour,Store Brand,GRO-FG-MF-SB-00096,,Multigrain Flour in Grocery > Flour & Grains. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Chana Daal,,,,,,,,,Grocery,Pulses,Chana Daal,Store Brand,GRO-PULS-CD-SB-00097,,Chana Daal in Grocery > Pulses. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Chana Daal,,,,,,,,,Grocery,Pulses,Chana Daal,Local Mill,GRO-PULS-CD-LM-00098,,Chana Daal in Grocery > Pulses. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Punjab Daal Chana Daal,,,,,,,,,Grocery,Pulses,Chana Daal,Punjab Daal,GRO-PULS-CD-PD-00099,,Punjab Daal Chana Daal in Grocery > Pulses. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
