Parent Category,Category,Brand,Description,Status
Grocery,Breakfast Foods & Cereals,Weetabix,Weetabix brand for Grocery > Breakfast Foods & Cereals,Active
Grocery,Breakfast Foods & Cereals,Store Brand,Store Brand brand for Grocery > Breakfast Foods & Cereals,Active
Grocery,Traditional Foods,Store Brand,Store Brand brand for Grocery > Traditional Foods,Active
Grocery,Traditional Foods,Local Brand,Local Brand brand for Grocery > Traditional Foods,Active
Grocery,Traditional Foods,Rehmat-e-Shereen,Rehmat-e-Shereen brand for Grocery > Traditional Foods,Active
Grocery,Traditional Foods,United King,United King brand for Grocery > Traditional Foods,Active
Grocery,Honey & Spreads,Young's,Young's brand for Grocery > Honey & Spreads,Active
Grocery,Honey & Spreads,Mitchell's,Mitchell's brand for Grocery > Honey & Spreads,Active
Grocery,Honey & Spreads,American Garden,American Garden brand for Grocery > Honey & Spreads,Active
Grocery,Honey & Spreads,Nutella,Nutella brand for Grocery > Honey & Spreads,Active
Grocery,Honey & Spreads,Store Brand,Store Brand brand for Grocery > Honey & Spreads,Active
Grocery,Vinegar & Cooking Essences,National,National brand for Grocery > Vinegar & Cooking Essences,Active
Grocery,Vinegar & Cooking Essences,Shangrila,Shangrila brand for Grocery > Vinegar & Cooking Essences,Active
Grocery,Vinegar & Cooking Essences,Mitchell's,Mitchell's brand for Grocery > Vinegar & Cooking Essences,Active
Grocery,Vinegar & Cooking Essences,Foster Clark's,Foster Clark's brand for Grocery > Vinegar & Cooking Essences,Active
Grocery,Jams & Marmalades,Mitchell's,Mitchell's brand for Grocery > Jams & Marmalades,Active
Grocery,Jams & Marmalades,National,National brand for Grocery > Jams & Marmalades,Active
Grocery,Jams & Marmalades,Young's,Young's brand for Grocery > Jams & Marmalades,Active
Grocery,Jams & Marmalades,American Garden,American Garden brand for Grocery > Jams & Marmalades,Active
Grocery,Peanut Butter & Chocolate Spreads,Young's,Young's brand for Grocery > Peanut Butter & Chocolate Spreads,Active
Grocery,Peanut Butter & Chocolate Spreads,Nutella,Nutella brand for Grocery > Peanut Butter & Chocolate Spreads,Active
Grocery,Peanut Butter & Chocolate Spreads,American Garden,American Garden brand for Grocery > Peanut Butter & Chocolate Spreads,Active
Grocery,Peanut Butter & Chocolate Spreads,Skippy,Skippy brand for Grocery > Peanut Butter & Chocolate Spreads,Active
Grocery,Peanut Butter & Chocolate Spreads,Store Brand,Store Brand brand for Grocery > Peanut Butter & Chocolate Spreads,Active
Grocery,Soup & Stock Cubes,Knorr,Knorr brand for Grocery > Soup & Stock Cubes,Active
Grocery,Soup & Stock Cubes,Maggi,Maggi brand for Grocery > Soup & Stock Cubes,Active
Grocery,Soup & Stock Cubes,National,National brand for Grocery > Soup & Stock Cubes,Active
Grocery,Soup & Stock Cubes,Shan,Shan brand for Grocery > Soup & Stock Cubes,Active
Grocery,Pasta & Noodles,Kolson,Kolson brand for Grocery > Pasta & Noodles,Active
Grocery,Pasta & Noodles,Bake Parlor,Bake Parlor brand for Grocery > Pasta & Noodles,Active
Grocery,Pasta & Noodles,Knorr,Knorr brand for Grocery > Pasta & Noodles,Active
Grocery,Pasta & Noodles,Maggi,Maggi brand for Grocery > Pasta & Noodles,Active
Grocery,Pasta & Noodles,National,National brand for Grocery > Pasta & Noodles,Active
Grocery,Vermicelli & Sawaiyan,Kolson,Kolson brand for Grocery > Vermicelli & Sawaiyan,Active
Grocery,Vermicelli & Sawaiyan,Bake Parlor,Bake Parlor brand for Grocery > Vermicelli & Sawaiyan,Active
Grocery,Vermicelli & Sawaiyan,National,National brand for Grocery > Vermicelli & Sawaiyan,Active
Grocery,Vermicelli & Sawaiyan,Store Brand,Store Brand brand for Grocery > Vermicelli & Sawaiyan,Active
Grocery,Imported Grocery,American Garden,American Garden brand for Grocery > Imported Grocery,Active
Grocery,Imported Grocery,Heinz,Heinz brand for Grocery > Imported Grocery,Active
Grocery,Imported Grocery,Tilda,Tilda brand for Grocery > Imported Grocery,Active
Grocery,Imported Grocery,Nutella,Nutella brand for Grocery > Imported Grocery,Active
Grocery,Imported Grocery,Kellogg's,Kellogg's brand for Grocery > Imported Grocery,Active
Grocery,Imported Grocery,Imported Brand,Imported Brand brand for Grocery > Imported Grocery,Active
Grocery,Organic & Health Foods,Organic Village,Organic Village brand for Grocery > Organic & Health Foods,Active
Grocery,Organic & Health Foods,Quaker,Quaker brand for Grocery > Organic & Health Foods,Active
Grocery,Organic & Health Foods,Nature's Own,Nature's Own brand for Grocery > Organic & Health Foods,Active
Grocery,Organic & Health Foods,Store Brand,Store Brand brand for Grocery > Organic & Health Foods,Active
Grocery,Dates & Ramadan Specials,Store Brand,Store Brand brand for Grocery > Dates & Ramadan Specials,Active
Grocery,Dates & Ramadan Specials,Al Madina,Al Madina brand for Grocery > Dates & Ramadan Specials,Active
Grocery,Dates & Ramadan Specials,Local Brand,Local Brand brand for Grocery > Dates & Ramadan Specials,Active
Grocery,Dates & Ramadan Specials,Imported Brand,Imported Brand brand for Grocery > Dates & Ramadan Specials,Active
Grocery,Tea Whiteners & Creamers,Nestle,Nestle brand for Grocery > Tea Whiteners & Creamers,Active
Grocery,Tea Whiteners & Creamers,Everyday,Everyday brand for Grocery > Tea Whiteners & Creamers,Active
Grocery,Tea Whiteners & Creamers,Tarang,Tarang brand for Grocery > Tea Whiteners & Creamers,Active
Grocery,Tea Whiteners & Creamers,Tea Max,Tea Max brand for Grocery > Tea Whiteners & Creamers,Active
Grocery,Tea Whiteners & Creamers,Coffee Mate,Coffee Mate brand for Grocery > Tea Whiteners & Creamers,Active
Beverages,Tea,Tapal,Tapal brand for Beverages > Tea,Active
Beverages,Tea,Lipton,Lipton brand for Beverages > Tea,Active
Beverages,Tea,Vital,Vital brand for Beverages > Tea,Active
Beverages,Tea,Supreme,Supreme brand for Beverages > Tea,Active
Beverages,Tea,Tetley,Tetley brand for Beverages > Tea,Active
Beverages,Tea,Store Brand,Store Brand brand for Beverages > Tea,Active
Beverages,Green Tea,Tapal,Tapal brand for Beverages > Green Tea,Active
Beverages,Green Tea,Lipton,Lipton brand for Beverages > Green Tea,Active
Beverages,Green Tea,Vital,Vital brand for Beverages > Green Tea,Active
Beverages,Green Tea,Tetley,Tetley brand for Beverages > Green Tea,Active
Beverages,Green Tea,Store Brand,Store Brand brand for Beverages > Green Tea,Active
Beverages,Herbal Tea,Lipton,Lipton brand for Beverages > Herbal Tea,Active
Beverages,Herbal Tea,Tetley,Tetley brand for Beverages > Herbal Tea,Active
Beverages,Herbal Tea,Twinings,Twinings brand for Beverages > Herbal Tea,Active
Beverages,Herbal Tea,Store Brand,Store Brand brand for Beverages > Herbal Tea,Active
Beverages,Coffee,Nescafe,Nescafe brand for Beverages > Coffee,Active
Beverages,Coffee,Davidoff,Davidoff brand for Beverages > Coffee,Active
Beverages,Coffee,Lavazza,Lavazza brand for Beverages > Coffee,Active
Beverages,Coffee,Store Brand,Store Brand brand for Beverages > Coffee,Active
Beverages,Instant Coffee,Nescafe,Nescafe brand for Beverages > Instant Coffee,Active
Beverages,Instant Coffee,Davidoff,Davidoff brand for Beverages > Instant Coffee,Active
Beverages,Instant Coffee,Maxwell House,Maxwell House brand for Beverages > Instant Coffee,Active
Beverages,Instant Coffee,Store Brand,Store Brand brand for Beverages > Instant Coffee,Active
Beverages,Tea Whiteners & Creamers,Nestle,Nestle brand for Beverages > Tea Whiteners & Creamers,Active
Beverages,Tea Whiteners & Creamers,Everyday,Everyday brand for Beverages > Tea Whiteners & Creamers,Active
Beverages,Tea Whiteners & Creamers,Tarang,Tarang brand for Beverages > Tea Whiteners & Creamers,Active
Beverages,Tea Whiteners & Creamers,Tea Max,Tea Max brand for Beverages > Tea Whiteners & Creamers,Active
Beverages,Tea Whiteners & Creamers,Coffee Mate,Coffee Mate brand for Beverages > Tea Whiteners & Creamers,Active
Beverages,Hot Chocolate,Cadbury,Cadbury brand for Beverages > Hot Chocolate,Active
Beverages,Hot Chocolate,Nestle,Nestle brand for Beverages > Hot Chocolate,Active
Beverages,Hot Chocolate,Milo,Milo brand for Beverages > Hot Chocolate,Active
Beverages,Hot Chocolate,Store Brand,Store Brand brand for Beverages > Hot Chocolate,Active
Beverages,Carbonated Soft Drinks,Pepsi,Pepsi brand for Beverages > Carbonated Soft Drinks,Active
Beverages,Carbonated Soft Drinks,Coca-Cola,Coca-Cola brand for Beverages > Carbonated Soft Drinks,Active
Beverages,Carbonated Soft Drinks,Sprite,Sprite brand for Beverages > Carbonated Soft Drinks,Active
Beverages,Carbonated Soft Drinks,7UP,7UP brand for Beverages > Carbonated Soft Drinks,Active
Beverages,Carbonated Soft Drinks,Fanta,Fanta brand for Beverages > Carbonated Soft Drinks,Active
Beverages,Carbonated Soft Drinks,Mountain Dew,Mountain Dew brand for Beverages > Carbonated Soft Drinks,Active
Beverages,Carbonated Soft Drinks,Mirinda,Mirinda brand for Beverages > Carbonated Soft Drinks,Active
Beverages,Energy Drinks,Sting,Sting brand for Beverages > Energy Drinks,Active
Beverages,Energy Drinks,Red Bull,Red Bull brand for Beverages > Energy Drinks,Active
Beverages,Energy Drinks,Monster,Monster brand for Beverages > Energy Drinks,Active
Beverages,Energy Drinks,Booster,Booster brand for Beverages > Energy Drinks,Active
Beverages,Sports Drinks,Gatorade,Gatorade brand for Beverages > Sports Drinks,Active
Beverages,Sports Drinks,Powerade,Powerade brand for Beverages > Sports Drinks,Active
Beverages,Sports Drinks,Store Brand,Store Brand brand for Beverages > Sports Drinks,Active
Beverages,Flavored Water,Store Brand,Store Brand brand for Beverages > Flavored Water,Active
Beverages,Flavored Water,Local Brand,Local Brand brand for Beverages > Flavored Water,Active
Beverages,Flavored Water,Imported Brand,Imported Brand brand for Beverages > Flavored Water,Active
Beverages,Mineral Water,Nestle,Nestle brand for Beverages > Mineral Water,Active
Beverages,Mineral Water,Aquafina,Aquafina brand for Beverages > Mineral Water,Active
Beverages,Mineral Water,Kinley,Kinley brand for Beverages > Mineral Water,Active
Beverages,Mineral Water,Dasani,Dasani brand for Beverages > Mineral Water,Active
Beverages,Mineral Water,Springley,Springley brand for Beverages > Mineral Water,Active
Beverages,Sparkling Water,Store Brand,Store Brand brand for Beverages > Sparkling Water,Active
Beverages,Sparkling Water,Local Brand,Local Brand brand for Beverages > Sparkling Water,Active
Beverages,Sparkling Water,Imported Brand,Imported Brand brand for Beverages > Sparkling Water,Active
Beverages,Fruit Juices,Nestle Fruita Vitals,Nestle Fruita Vitals brand for Beverages > Fruit Juices,Active
Beverages,Fruit Juices,Shezan,Shezan brand for Beverages > Fruit Juices,Active
Beverages,Fruit Juices,Slice,Slice brand for Beverages > Fruit Juices,Active
Beverages,Fruit Juices,Dayfresh,Dayfresh brand for Beverages > Fruit Juices,Active
Beverages,Fruit Juices,Maza,Maza brand for Beverages > Fruit Juices,Active
Beverages,Nectars,Store Brand,Store Brand brand for Beverages > Nectars,Active
Beverages,Nectars,Local Brand,Local Brand brand for Beverages > Nectars,Active
Beverages,Nectars,Imported Brand,Imported Brand brand for Beverages > Nectars,Active
Beverages,Juice Drinks,Store Brand,Store Brand brand for Beverages > Juice Drinks,Active
Beverages,Juice Drinks,Local Brand,Local Brand brand for Beverages > Juice Drinks,Active
Beverages,Juice Drinks,Imported Brand,Imported Brand brand for Beverages > Juice Drinks,Active
Beverages,Kids Drinks,Store Brand,Store Brand brand for Beverages > Kids Drinks,Active
Beverages,Kids Drinks,Local Brand,Local Brand brand for Beverages > Kids Drinks,Active
Beverages,Kids Drinks,Imported Brand,Imported Brand brand for Beverages > Kids Drinks,Active
Beverages,Tetra Pack Drinks,Nestle,Nestle brand for Beverages > Tetra Pack Drinks,Active
Beverages,Tetra Pack Drinks,Shezan,Shezan brand for Beverages > Tetra Pack Drinks,Active
Beverages,Tetra Pack Drinks,Dayfresh,Dayfresh brand for Beverages > Tetra Pack Drinks,Active
Beverages,Tetra Pack Drinks,Slice,Slice brand for Beverages > Tetra Pack Drinks,Active
Beverages,Tetra Pack Drinks,Fruiti-O,Fruiti-O brand for Beverages > Tetra Pack Drinks,Active
Beverages,Syrups & Squashes,Rooh Afza,Rooh Afza brand for Beverages > Syrups & Squashes,Active
Beverages,Syrups & Squashes,Jam-e-Shirin,Jam-e-Shirin brand for Beverages > Syrups & Squashes,Active
Beverages,Syrups & Squashes,Mitchell's,Mitchell's brand for Beverages > Syrups & Squashes,Active
Beverages,Syrups & Squashes,Shezan,Shezan brand for Beverages > Syrups & Squashes,Active
Beverages,Sharbat,Store Brand,Store Brand brand for Beverages > Sharbat,Active
Beverages,Sharbat,Local Brand,Local Brand brand for Beverages > Sharbat,Active
Beverages,Sharbat,Imported Brand,Imported Brand brand for Beverages > Sharbat,Active
Beverages,Rooh Afza Type Drinks,Store Brand,Store Brand brand for Beverages > Rooh Afza Type Drinks,Active
Beverages,Rooh Afza Type Drinks,Local Brand,Local Brand brand for Beverages > Rooh Afza Type Drinks,Active
Beverages,Rooh Afza Type Drinks,Imported Brand,Imported Brand brand for Beverages > Rooh Afza Type Drinks,Active
Beverages,Sattu Drinks,Store Brand,Store Brand brand for Beverages > Sattu Drinks,Active
Beverages,Sattu Drinks,Local Brand,Local Brand brand for Beverages > Sattu Drinks,Active
Beverages,Sattu Drinks,Imported Brand,Imported Brand brand for Beverages > Sattu Drinks,Active
Beverages,Milk Drinks,Nestle,Nestle brand for Beverages > Milk Drinks,Active
Beverages,Milk Drinks,Olpers,Olpers brand for Beverages > Milk Drinks,Active
Beverages,Milk Drinks,Dayfresh,Dayfresh brand for Beverages > Milk Drinks,Active
Beverages,Milk Drinks,Nurpur,Nurpur brand for Beverages > Milk Drinks,Active
Beverages,Milk Drinks,Milk Pak,Milk Pak brand for Beverages > Milk Drinks,Active
Beverages,Flavored Milk,Nestle,Nestle brand for Beverages > Flavored Milk,Active
Beverages,Flavored Milk,Olpers,Olpers brand for Beverages > Flavored Milk,Active
Beverages,Flavored Milk,Dayfresh,Dayfresh brand for Beverages > Flavored Milk,Active
Beverages,Flavored Milk,Nurpur,Nurpur brand for Beverages > Flavored Milk,Active
Beverages,Flavored Milk,Haleeb,Haleeb brand for Beverages > Flavored Milk,Active
Beverages,Lassi,Olpers,Olpers brand for Beverages > Lassi,Active
Beverages,Lassi,Dayfresh,Dayfresh brand for Beverages > Lassi,Active
Beverages,Lassi,Nurpur,Nurpur brand for Beverages > Lassi,Active
Beverages,Lassi,Prema,Prema brand for Beverages > Lassi,Active
Beverages,Lassi,Store Brand,Store Brand brand for Beverages > Lassi,Active
Beverages,Yogurt Drinks,Olpers,Olpers brand for Beverages > Yogurt Drinks,Active
Beverages,Yogurt Drinks,Dayfresh,Dayfresh brand for Beverages > Yogurt Drinks,Active
Beverages,Yogurt Drinks,Prema,Prema brand for Beverages > Yogurt Drinks,Active
Beverages,Yogurt Drinks,Store Brand,Store Brand brand for Beverages > Yogurt Drinks,Active
Beverages,Milkshakes,Store Brand,Store Brand brand for Beverages > Milkshakes,Active
Beverages,Milkshakes,Local Brand,Local Brand brand for Beverages > Milkshakes,Active
Beverages,Milkshakes,Imported Brand,Imported Brand brand for Beverages > Milkshakes,Active
Beverages,Malt Drinks,Milo,Milo brand for Beverages > Malt Drinks,Active
Beverages,Malt Drinks,Ovaltine,Ovaltine brand for Beverages > Malt Drinks,Active
Beverages,Malt Drinks,Horlicks,Horlicks brand for Beverages > Malt Drinks,Active
Beverages,Protein Drinks,Store Brand,Store Brand brand for Beverages > Protein Drinks,Active
Beverages,Protein Drinks,Local Brand,Local Brand brand for Beverages > Protein Drinks,Active
Beverages,Protein Drinks,Imported Brand,Imported Brand brand for Beverages > Protein Drinks,Active
Beverages,Energy Nutrition Drinks,Store Brand,Store Brand brand for Beverages > Energy Nutrition Drinks,Active
Beverages,Energy Nutrition Drinks,Local Brand,Local Brand brand for Beverages > Energy Nutrition Drinks,Active
Beverages,Energy Nutrition Drinks,Imported Brand,Imported Brand brand for Beverages > Energy Nutrition Drinks,Active
Beverages,Imported Beverages,Store Brand,Store Brand brand for Beverages > Imported Beverages,Active
Beverages,Imported Beverages,Local Brand,Local Brand brand for Beverages > Imported Beverages,Active
Beverages,Imported Beverages,Imported Brand,Imported Brand brand for Beverages > Imported Beverages,Active
Beverages,Kombucha,Store Brand,Store Brand brand for Beverages > Kombucha,Active
Beverages,Kombucha,Local Brand,Local Brand brand for Beverages > Kombucha,Active
Beverages,Kombucha,Imported Brand,Imported Brand brand for Beverages > Kombucha,Active
Beverages,Coconut Water,Store Brand,Store Brand brand for Beverages > Coconut Water,Active
Beverages,Coconut Water,Local Brand,Local Brand brand for Beverages > Coconut Water,Active
Beverages,Coconut Water,Imported Brand,Imported Brand brand for Beverages > Coconut Water,Active
Beverages,Ready To Drink Tea,Store Brand,Store Brand brand for Beverages > Ready To Drink Tea,Active
Beverages,Ready To Drink Tea,Local Brand,Local Brand brand for Beverages > Ready To Drink Tea,Active
Beverages,Ready To Drink Tea,Imported Brand,Imported Brand brand for Beverages > Ready To Drink Tea,Active
Beverages,Ready To Drink Coffee,Store Brand,Store Brand brand for Beverages > Ready To Drink Coffee,Active
Beverages,Ready To Drink Coffee,Local Brand,Local Brand brand for Beverages > Ready To Drink Coffee,Active
Beverages,Ready To Drink Coffee,Imported Brand,Imported Brand brand for Beverages > Ready To Drink Coffee,Active
Beverages,Drink Powders,Tang,Tang brand for Beverages > Drink Powders,Active
Beverages,Drink Powders,Rasna,Rasna brand for Beverages > Drink Powders,Active
Beverages,Drink Powders,Foster Clark's,Foster Clark's brand for Beverages > Drink Powders,Active
Beverages,Drink Powders,Milo,Milo brand for Beverages > Drink Powders,Active
Beverages,Drink Powders,Ovaltine,Ovaltine brand for Beverages > Drink Powders,Active
Beverages,Instant Beverage Mixes,Store Brand,Store Brand brand for Beverages > Instant Beverage Mixes,Active
Beverages,Instant Beverage Mixes,Local Brand,Local Brand brand for Beverages > Instant Beverage Mixes,Active
Beverages,Instant Beverage Mixes,Imported Brand,Imported Brand brand for Beverages > Instant Beverage Mixes,Active
Beverages,ORS & Rehydration Drinks,ORS,ORS brand for Beverages > ORS & Rehydration Drinks,Active
Beverages,ORS & Rehydration Drinks,Pedialyte,Pedialyte brand for Beverages > ORS & Rehydration Drinks,Active
Beverages,ORS & Rehydration Drinks,Electral,Electral brand for Beverages > ORS & Rehydration Drinks,Active
Beverages,ORS & Rehydration Drinks,Store Brand,Store Brand brand for Beverages > ORS & Rehydration Drinks,Active
Beverages,Glucose Drinks,Store Brand,Store Brand brand for Beverages > Glucose Drinks,Active
Beverages,Glucose Drinks,Local Brand,Local Brand brand for Beverages > Glucose Drinks,Active
Beverages,Glucose Drinks,Imported Brand,Imported Brand brand for Beverages > Glucose Drinks,Active
Beverages,Flavored Powder Drinks,Store Brand,Store Brand brand for Beverages > Flavored Powder Drinks,Active
Beverages,Flavored Powder Drinks,Local Brand,Local Brand brand for Beverages > Flavored Powder Drinks,Active
Beverages,Flavored Powder Drinks,Imported Brand,Imported Brand brand for Beverages > Flavored Powder Drinks,Active
Snacks & Confectionery,Potato Chips,Lays,Lays brand for Snacks & Confectionery > Potato Chips,Active
Snacks & Confectionery,Potato Chips,Super Crisp,Super Crisp brand for Snacks & Confectionery > Potato Chips,Active
Snacks & Confectionery,Potato Chips,Oye Hoye,Oye Hoye brand for Snacks & Confectionery > Potato Chips,Active
Snacks & Confectionery,Potato Chips,Kolson,Kolson brand for Snacks & Confectionery > Potato Chips,Active
Snacks & Confectionery,Potato Chips,Store Brand,Store Brand brand for Snacks & Confectionery > Potato Chips,Active
Snacks & Confectionery,Corn Snacks,Cheetos,Cheetos brand for Snacks & Confectionery > Corn Snacks,Active
